2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 09:49:06 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 09:49:20 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 09:49:20 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:20 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 9 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 9 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-11 10:02:32 - price_service - WARNING - No price record found for 6 in USD, using default values
