2025-08-05 11:48:20 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:36 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:37 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:39 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:51 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:53 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:08:58 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:12:13 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:12:14 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:12:20 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 4 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 5 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 6 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 7 in USD, using default values
2025-08-05 12:13:00 - price_service - WARNING - No price record found for 8 in USD, using default values
2025-08-05 12:13:02 - price_service - WARNING - No price record found for 2 in USD, using default values
2025-08-05 12:13:02 - price_service - WARNING - No price record found for 4 in USD, using default values
